1693561903662528518 0.184   0.242
1693561903662528518 1.047   0.201
1693561903662528518 1.603   0.398
1693561903662528518 2.567   0.212
1693561903662528518 3.620   0.246
1693561903662528518 5.153   0.231
1693561903662528518 5.958   0.317
1693561903662528518 6.660   0.246
1693561903662528518 7.454   0.214
1693561903662528518 8.364   0.169
1693561903662528518 9.113   0.210
1693561903662528518 10.892  0.193
1693561903662528518 11.618  0.203
1693561903662528518 13.074  0.272
1693561903662528518 14.521  0.255
1693561903662528518 15.923  0.261
1693561903662528518 16.823  0.165
1693561903662528518 19.839  0.193
1693561903662528518 20.670  0.186
1693561903662528518 22.466  0.244
1693561903662528518 23.277  0.191
1693561935906791015 2.218   0.278
1693561935906791015 3.121   0.283
1693561935906791015 9.235   0.257
1693561935906791015 9.685   0.240
1693561935906791015 19.747  0.223
1693561935906791015 20.111  0.197
1693561935906791015 20.346  0.197
1693561935906791015 22.466  0.253
1693561935906791015 23.540  0.265
1693561935906791015 24.949  0.257
1693561935906791015 27.128  0.291
1693561966328627052 5.104   1.216
1693561966328627052 6.422   0.235
1693561966328627052 7.463   0.265
1693561966328627052 8.533   0.235
1693561966328627052 14.421  0.206
1693561966328627052 14.733  0.163
1693561966328627052 15.050  0.188
1693561966328627052 15.584  0.218
1693561966328627052 16.775  0.184
1693561966328627052 18.728   0.227
1693561966328627052 19.139  0.210
1693561966328627052 20.702  0.274
1693561966328627052 24.285  0.214
1693561966328627052 24.722  0.223
1693561966328627052 26.816  0.218
1693561966328627052 27.240  0.214
1693562020483807935 22.297  0.265
1693562020483807935 22.738  0.617
1693562020483807935 23.620  0.210
1693562020483807935 25.217  0.141
1693562020483807935 25.994  0.173
1693562020483807935 27.604  0.218
1693562020483807935 29.640  0.079
1693562404574310420 0.032   0.139
1693562404574310420 0.833   0.184
1693562404574310420 1.944   0.165
1693562404574310420 2.798   0.173
1693562404574310420 3.637   0.178
1693562404574310420 6.926   0.191
1693562404574310420 7.694   0.182
1693562404574310420 8.563   0.135
1693562404574310420 9.398   0.168
1693562404574310420 10.257  0.188
1693562404574310420 11.599  0.178
1693562404574310420 12.108  0.184
1693562404574310420 15.848  0.188
1693562404574310420 16.673  0.161
1693562404574310420 19.567  0.220
1693562404574310420 20.398  0.146
1693562404574310420 23.423  0.163
